Title,Company,City,State,Description,Skills,Experience,Job URL,skill_count,job_level,desc_length,Experience_log
Junior System Admin,Hays Recruitment,Sydney CBD,NSW,"Assist in IT systems installation, configuration, and maintenance
Provide technical support, troubleshoot hardware and software issues
Degree in Computer Science, basic OS and networking knowledge required","Networking, SSIS",5.0,https://au.jora.com/job/Junior-System-Admin-898be5984d0e639f71b61b4fc1b6b8e5,2,entry,207,1.791759469228055
IT Support and Helpdesk Technician,Network Alliance,Brisbane,QLD,"Provide Level 2 IT support onsite and remotely
Install, upgrade, and repair hardware, software, printers
Minimum 5 years experience, Microsoft 365, ConnectWise proficiency required",IT Support,5.0,https://au.jora.com/job/Helpdesk-Technician-5b99d068f78c2b0a3487a2cfc3a66fb2,1,unknown,182,1.791759469228055
IT Help Desk Officer,Yarra Ranges Council,Lilydale,VIC,"Provide technical support to over 850 business unit users
Proficiency in Windows 11, Office 365, and Android environments
Tertiary IT qualification or relevant experience required",,5.0,https://au.jora.com/job/IT-Help-Desk-063fa65837d508e7523d639b9cc11030,0,unknown,181,1.791759469228055
Microsoft Traineeship Program - Cert IV IT,MEGT,Fyshwick,ACT,"Provide first-level technical support to clients over the phone
24-month full-time paid traineeship with Certificate IV in IT
Gain globally recognised Microsoft certifications and practical work experience",,5.0,https://au.jora.com/job/Microsoft-Traineeship-Program-84d51d7157556ebab7e7ac62b0b772ea,0,unknown,207,1.791759469228055
Networking/ IT Help Desk- Professional Internship Program,Eightfold Institute of Australia,Melbourne,VIC,"Structured internship program with industry mentor and career readiness
Learn software installation, troubleshooting, and user support skills
Requires Networking/IT qualification and English proficiency.",Networking,5.0,https://au.jora.com/job/Networking-IT-Help-d90dc5ae0fd2a92be3c3d31e00830737,1,unknown,205,1.791759469228055
Level 1 Engineer,Brain Box,Brisbane,QLD,"Provide first-level technical support via phone, email, and on-site
Troubleshoot and resolve hardware, software, and network issues
Collaborate with team to escalate and resolve complex technical problems",Scala,5.0,https://au.jora.com/job/Level-1-Engineer-60b6191942f7bd5375db08ff2744e2d9,1,unknown,206,1.791759469228055
IT Level 1 Engineer,Blackbird IT,Dulwich,SA,"Provide Level 1 technical support via phone and email
Resolve tech issues, escalate when needed, maintain timesheets accurately
Tech certifications preferred; strong communication, problem-solving",Scala,5.0,https://au.jora.com/job/IT-Level-1-ee0b5d3e067c163612594b26ca5156c7,1,unknown,198,1.791759469228055
Information Technology Help Desk Support,The Missing Link,Melbourne,VIC,"Provide technical assistance and prompt resolutions to client inquiries
Collaborate with team to manage tickets and ensure compliance
Minimum 1-2 years IT support experience, degree in related field","IT Support, SSIS",2.0,https://au.jora.com/job/Information-Technology-Help-1758e597c2aabdac0099d25f9386ab85,2,unknown,200,1.0986122886681098
IT Helpdesk Support (Part-Time),Nutrimetics,Gladesville,NSW,"Provide Level 1 & 2 IT support for hardware/software
Resolve technical issues, manage helpdesk tickets, and assist users
Experience with Windows/macOS, Microsoft Office, and Active Directory","Active Directory, IT Support, SSIS",5.0,https://au.jora.com/job/IT-Helpdesk-Support-0b5f7bbb1cbdd97a6bfde79e8c5ad272,3,unknown,192,1.791759469228055
IT Helpdesk Support Officer,Brisbane Girls Grammar School,Spring Hill,QLD,"Primary contact for staff and student IT issues
Maintenance of school IT equipment and systems
Qualifications in IT, experience with various operating systems",,5.0,https://au.jora.com/job/IT-Helpdesk-Support-532a133fe7f6447b2373dfdf1d7c45c3,0,unknown,160,1.791759469228055
Graduate IT Sales Role | 12-month Salary Review - NSW,Proforce,Sydney CBD,NSW,"Entry-level role in IT sales for recent university graduates
Building relationships and advising clients on technology use
No experience required; must have completed university degree",,5.0,https://au.jora.com/job/Sales-Role-3cd3f009132236ef7bed8188bbe43812,0,entry,186,1.791759469228055
It Support Technician,DirectIT,Surry Hills,NSW,"Maintain ICT knowledge base and system documentation
Proactively monitor system security and administer backup operations
Provide client support, prioritize user requests, and escalate when needed",Scala,5.0,https://au.jora.com/job/It-Support-Technician-14f2aead324bbd70fbdb5d2482255ff0,1,unknown,198,1.791759469228055
Level 1 - Service Desk Technician,Total Computer Technology,Ryde,NSW,"Provisioning PCs and providing 1st Level PC, network support
Requires TAFE Certificate, MCSA or equivalent; basic network skills
Opportunity for career growth in IT Managed Service Provider",Visio,5.0,https://au.jora.com/job/Service-Desk-Technician-d25e1559b3f052c20ee61a91ed31dfdf,1,unknown,191,1.791759469228055
Tech Support / Helpdesk - Level 1-2,The Onset,Melbourne,VIC,"Troubleshooting networked PCs with Windows-based software applications
Ensuring compliance of IT operations against industry standards
Requires NV1/NV2 clearance, IT certificate, and 2+ years experience",,2.0,https://au.jora.com/job/Tech-Support-Helpdesk-ad3e2182681b8031da9a10514c9b565e,0,unknown,204,1.0986122886681098
Helpdesk and IT Support Technician,Smart Business Systems,Kedron,QLD,"Provide helpdesk support via phone, email, and face-to-face
Manage user accounts in Active Directory and Microsoft 365
Desired qualifications include Certificate IV and Diploma in IT",Active Directory,5.0,https://au.jora.com/job/Helpdesk-and-IT-89779c3e641449fe466c4f14e9658667,1,unknown,184,1.791759469228055
Traineeship: IT Support,Xenontech,Yagoona,NSW,"Provide onsite and offsite support to NSW Public Schools
Work with Principals, Teachers, and Administration staff
Opportunity for on-the-job training, IT certification, and career growth",,5.0,https://au.jora.com/job/Traineeship-IT-Support-a88a60382f003bec00d1eaae19bde893,0,unknown,188,1.791759469228055
IT Help Desk Team Member - MSP,TechBrain,Subiaco,WA,"Troubleshoot and resolve technical issues for users
Prioritize and triage support tickets based on urgency
Experience in Windows, Mac OS, and MSP help desk",Help Desk,5.0,https://au.jora.com/job/Team-Member-48f8a009586ddbf011d8aae5b9906265,1,unknown,157,1.791759469228055
IT Support,R.L Blake Pty Ltd,Cobden,VIC,"Provide IT support & troubleshooting for company systems
Maintain network accounts, permissions, and software/hardware configurations
Skills: problem-solving, Microsoft Stack, communication, organization",IT Support,5.0,https://au.jora.com/job/IT-Support-f6106e3eb3c5340fa6aa3cecba32dbfe,1,unknown,205,1.791759469228055
IT Assistant Intern,Study and Work,Melbourne,VIC,"Relevant degree or recent graduate/skilled migrant
Technical support, system management, and IT strategy contribution
12-week work experience, structured training, job placement assistance",SSIS,5.0,https://au.jora.com/job/IT-Assistant-Intern-d70347fc9ee990d2fd29671ca6adb6cf,1,unknown,190,1.791759469228055
IT Support Desk Officer,Mornington Peninsula Shire,Rosebud,VIC,"Providing IT support to employees for hardware and software issues
Assisting with troubleshooting network connectivity and system access problems
Collaborating with IT team to ensure smooth operation of systems","IT Support, SSIS",5.0,https://au.jora.com/job/Support-Desk-Officer-2766d79b907cfe67d8dffb52bd83bd45,2,unknown,212,1.791759469228055
Helpdesk Support (Level 1),West Recruitment,Sydney Western Suburbs,NSW,"First point of contact for internal customer support
Logging support requests and ensuring SLAs are met
1-2 years support experience, MS Office proficiency required",,2.0,https://au.jora.com/job/Helpdesk-Support-Level-5418ff734b42ae389f70a28fa711f088,0,unknown,166,1.0986122886681098
IT Traineeship - Hobart,NDA Computing,Hobart,TAS,"Entry-level IT traineeship for Certificate III or IV qualification
Gain workplace skills while completing IT training in Hobart
Full-time employment with opportunities for future positions",,5.0,https://au.jora.com/job/IT-Traineeship-Hobart-3af578d5a7df6b9c96a60eeba8857efd,0,unknown,190,1.791759469228055
Junior IT Support Technician,Oui Recruitment,Perth,WA,"Provide customer service, troubleshoot hardware and software problems
Assist with systems administration, networking tasks, and onsite visits
Require driver's license, certifications like CCNA, NSE 1-3, MS-900","Networking, SSIS",5.0,https://au.jora.com/job/Junior-IT-Support-fd9ac00bf17a4cf7f94bdcdbce7b25a5,2,entry,211,1.791759469228055
Level 1 Service Desk Technician,Emerging It,North Sydney,NSW,"Provide timely technical support via phone, email, ticketing systems
Troubleshoot hardware, software, and basic network issues
Degree in IT, prior service desk experience, strong communication skills",Service Desk,5.0,https://au.jora.com/job/Service-Desk-Technician-2defa0868e3b41a470b916360d4aa780,1,unknown,201,1.791759469228055
IT Support Officer,Nyrstar,Hobart,TAS,"Provide high level customer service support and solutions
Troubleshoot technical issues, maintain computer infrastructure, and IT policies
2+ years IT support experience, strong technical knowledge, communication skills",IT Support,2.0,https://au.jora.com/job/IT-Support-Officer-87c4d046749d44bc6a7f48fa54fe215d,1,unknown,221,1.0986122886681098
Helpdesk Officer,Hays Recruitment,Perth Southern Suburbs,WA,"First point of contact for IT-related issues within organization
Troubleshoot hardware/software problems, provide training, maintain IT records
Experience in helpdesk support, Microsoft Office, Active Directory required",Active Directory,5.0,https://au.jora.com/job/Helpdesk-Officer-94b0ac6cb018eef5216738d107888f76,1,unknown,221,1.791759469228055
IT Help Desk Support Engineer - L1,The Missing Link,Melbourne,VIC,"Provide technical assistance and prompt resolutions to client inquiries
Collaborate with Support Team, maintain SLAs, and mentor junior members
Minimum 1-2 years IT support experience in MSP or Cloud","IT Support, SSIS",2.0,https://au.jora.com/job/Support-Engineer-34cb4eb5e9d8f387cfafcae77398bb79,2,unknown,201,1.0986122886681098
IT Service Desk Officer,CBHS Health Fund,Parramatta,NSW,"Provide first level IT support to CBHS Staff and contractors
Experience in IT Service Desk role and Microsoft troubleshooting skills
Certificate 4 in IT Service Desk or ITIL Certification preferred","IT Support, ITIL, Service Desk",5.0,https://au.jora.com/job/IT-Service-Desk-5c14eb8e52363ec133d092867107cfc6,3,unknown,199,1.791759469228055
Deskside Support Technician - Level 1,EQUANS,Silverwater,NSW,"Provide first-line IT support to internal users
Troubleshoot and resolve hardware and software issues effectively
Collaborate with vendors, document procedures, and assist in IT projects","IT Support, SSIS",5.0,https://au.jora.com/job/Support-Technician-e1f1fa440fca10781360aad2cdaf98ee,2,unknown,188,1.791759469228055
Desktop Support,Randstad,Bankstown,NSW,We're recruiting a Service Desk Support Officer to provide responsive Level 1 & 2 IT support within a busy and supportive team...,"IT Support, Service Desk",5.0,https://au.jora.com/job/Desktop-Support-a5131bd921884717048c5b83cb9c9fb9,2,unknown,129,1.791759469228055
Casual IT Officers,King's Own Institute,Sydney CBD,NSW,"Provide IT technical support to staff, teachers, and students
Manage IT Service Desk tickets and assist with IT tasks
Maintain servers, network infrastructure, and conduct user training sessions","SSIS, Service Desk",5.0,https://au.jora.com/job/Casual-IT-Officers-cc0d8ddb4fc0eba377f452d63a6441f5,2,unknown,196,1.791759469228055
Junior I.T. Apprentice - Certificate III in Information Technology,Australian Apprenticeships Support Network Northern Territory,Berrimah,NT,"Hands-on experience in computer systems and network maintenance
Provide first-line support to end-users, troubleshoot technical issues
Opportunity for career growth with clear advancement pathways",,5.0,https://au.jora.com/job/Junior-I-T-5297de11ef853b5a13e8f48c80bf0a88,0,entry,198,1.791759469228055
Level 1 IT Support Technician (Remote Fulltime),Flying Donkey IT,Brisbane,QLD,"Provide Level 1 technical support via phone, email, chat
Maintain and troubleshoot hardware, software, and network systems
Administer Active Directory, Microsoft 365, IP phone systems",Active Directory,5.0,https://au.jora.com/job/Level-1-IT-71a9885c2f7032a4b00581970e969a51,1,unknown,185,1.791759469228055
IT Support & Database Administrator,Howe Farming Enterprises,Walkamin,QLD,"Support IT systems, troubleshoot databases, assist with R&D projects
Ideal for recent IT or computer science graduates, eager learners
Training provided, work-life balance, real-world experience in IT",SSIS,5.0,https://au.jora.com/job/Database-Administrator-eae279d30e1a1353863bb25955ab2b7d,1,unknown,202,1.791759469228055
Vanguard IT Graduate Program,Vanguard,Melbourne,VIC,"Join Vanguard Australia's IT Graduate Program for dynamic projects
3 rotations in different divisions, mentorship by industry technologists
Hands-on experience in cloud-based systems, hack-a-thons, structured learning",Visio,5.0,https://au.jora.com/job/Vanguard-IT-Graduate-33b418c03b3896e594178c060f44be1a,1,entry,219,1.791759469228055
Level 1 Support IT Officer,Best Sheds,Kembla,NSW,"Provide IT support, helpdesk management, equipment maintenance and setup
Minimum 1-2 years IT support experience, Microsoft 365 knowledge
Network setup, troubleshooting, liaising with IT Manager, team player",IT Support,2.0,https://au.jora.com/job/Level-1-Support-75180a59a96e44e143dd1c497956d735,1,unknown,209,1.0986122886681098
IT Support Desk Officer,Mornington Peninsula Shire,Mornington,VIC,"Provide IT customer service via phone, email, and in-person
Troubleshoot technical issues, escalate when necessary, maintain asset database
Experience with AV technology, TAFE qualification in IT required",Scala,5.0,https://au.jora.com/job/Support-Desk-Officer-76040627b9e0db1e5c5fb5843c1ddfdf,1,unknown,206,1.791759469228055
Entry Level Graduate Role (Gold Coast) | 12-month Salary Review - QLD,Proforce,Gold Coast,QLD,"Utilize hospitality skills in corporate environment
Opportunities in various industries without prior corporate experience
Requires completed university degree and Australian working rights",,5.0,https://au.jora.com/job/Entry-Level-Graduate-d1aad34673b012f8d0d70895659cf269,0,entry,191,1.791759469228055
Junior Technical Support - Managed Services,Qirx Pty Ltd,Canberra,ACT,"Provide technical support to clients resolving IT issues efficiently
Work in shifts, log work in ticketing system, escalate issues
Passion for technology, basic IT support exposure, strong communication","IT Support, Scala",5.0,https://au.jora.com/job/Junior-Technical-Support-e24f4e09252cb04fcbb5dafdfa70df13,2,entry,204,1.791759469228055
Service Desk Agent,Datacom,North Sydney,NSW,"First point of contact for client support, proactive problem-solving
Opportunity to kick-start IT career, develop skills and knowledge
Full availability needed for rotating roster, strong communication skills",,5.0,https://au.jora.com/job/Service-Desk-Agent-48d22455bd593eb12b90a881c62c13a5,0,unknown,210,1.791759469228055
Home Handiwork | Werribee,Service Seeking,Melbourne,VIC,"Big hole in the wall, inspection tomorrow, need it fixed urgently",,5.0,https://au.jora.com/job/Home-Handiwork-%7C-fc551c9c0adf4cf808fe4202696d369b,0,unknown,65,1.791759469228055
Service Desk IT Support Technician / Engineer,Network Technologies Queensland,Brendale,QLD,"Provide 1st and 2nd level IT support in dynamic environment
Experience with desktop, server, networking, and phone systems
Client-facing role requiring excellent communication and problem-solving skills","Excel, IT Support, Networking",5.0,https://au.jora.com/job/Engineer-0290c1bbd967304a10b2569575c68889,3,unknown,204,1.791759469228055
Service Desk Consultant,Catalytic IT,Burswood,WA,"Provide technical support for clients on various platforms
Resolve client issues through effective questioning and troubleshooting
Opportunities for growth within a rewarding and diverse environment",,5.0,https://au.jora.com/job/Service-Desk-Consultant-6b95e2afd9a1151aefca0a87c2dffafe,0,unknown,200,1.791759469228055
It Consultant,Appetency Recruitment Services,Sydney,NSW,"Full-time IT consultant role in Sydney, NSW
Requires 2-3 years of relevant work experience
Monday to Friday morning shifts availability required",,3.0,https://au.jora.com/job/It-Consultant-7db0343dce94cfba5980e474fac1faba,0,unknown,146,1.3862943611198906
It Support Technician,Ultra Tune Australia,Glen Iris,VIC,"Requires 2-3 years of relevant work experience
Develop and maintain web applications using C# and ReactJS
Collaborate with teams to define, design, and ship features","C#, React",3.0,https://au.jora.com/job/It-Support-Technician-0b759387ed7dc537d867ea66f4608855,2,unknown,167,1.3862943611198906
Tech Svc Desk,Unisys,Canberra,ACT,"Provide 1st Level IT Support with fast, efficient service
Maintain data accuracy, assign incidents, and manage workload
Baseline Security Clearance and Australian Citizenship required",IT Support,5.0,https://au.jora.com/job/Tech-Svc-Desk-6f4a1bb988194947d044ff937a43e4b1,1,unknown,185,1.791759469228055
Level 1 Tech Support Analyst,Gilbert + Tobin Lawyers,Sydney,NSW,"Provide first-level technical support via phone, email, and chat
Troubleshoot and resolve issues related to various technologies
Work onsite in Sydney full-time on a rotating weekday roster",,5.0,https://au.jora.com/job/Level-1-Tech-b53cf8a5af7db382dab5f39733dcebab,0,unknown,191,1.791759469228055
IT Service Desk Administrator,AWH,Lara,VIC,"Provide first-line IT support and technical assistance to users
Manage IT service requests, incidents, hardware, and software components
Experience in Windows engineering, Microsoft servers, Active Directory","Active Directory, IT Support, SSIS",5.0,https://au.jora.com/job/Service-Desk-Administrator-2f433038111f23471483be40d3d5bb52,3,unknown,209,1.791759469228055
Graduate IT Systems Analyst,MSP Photography,Wagga Wagga,NSW,"Support and enhance existing systems and processes
Develop and implement new products and innovations
Degree in IT or related field, basic knowledge of databases",,5.0,https://au.jora.com/job/Graduate-IT-Systems-ec83eac650c43f878523e3acea479186,0,entry,163,1.791759469228055
Junior IT Support Officer,Doble Express Transport,Yennora,NSW,"Provide first-level IT support and resolve hardware, software issues
Assist in setting up and maintaining hardware, support IT projects
Basic IT knowledge, Power BI skills, proactive attitude required","IT Support, Power BI, SSIS",5.0,https://au.jora.com/job/Junior-IT-Support-fb146c1306127f2a6892914d1ce81254,3,entry,202,1.791759469228055
Helpdesk Specialist,Hays Recruitment,Melbourne,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and perform account administration
Experience with Windows, macOS, Active Directory, Exchange, Office 365","Active Directory, IT Support",5.0,https://au.jora.com/job/Helpdesk-Specialist-81094cb990fff86a970546f1ff158874,2,unknown,186,1.791759469228055
Junior IT Support Administrator,Simpro,Melbourne,VIC,"Provide technical support and maintain IT systems for end-users
Configure and deploy IT hardware solutions for organisational capabilities
Support Salesforce operations, data management, and system administration",Salesforce,5.0,https://au.jora.com/job/Junior-IT-Support-a723da393ee8bb95dd56bfed967d8f4f,1,entry,214,1.791759469228055
Helpdesk Officer,Hays Recruitment,South Perth,WA,"First point of contact for IT-related issues within organization
Troubleshoot hardware/software problems, provide training and support to staff
Strong knowledge of Microsoft Office, Active Directory administration required",Active Directory,5.0,https://au.jora.com/job/Helpdesk-Officer-04c75c9c77e57224366d6b73d0e697b9,1,unknown,224,1.791759469228055
It Support Technician,Perdaman Global Services Pty Ltd,Perth,WA,"Manage and optimize ICT infrastructure in hybrid environments
Lead multi-disciplinary ICT team for service delivery and automation
Minimum 10 years ICT experience, Python scripting, enterprise infrastructure",Python,10.0,https://au.jora.com/job/It-Support-Technician-6165e554803c623c8213bb682ccea113,1,unknown,209,2.3978952727983707
IT support / IT Operations x 3 roles,Shield Recruitment,Ballarat,VIC,"Monitor systems, applications, and infrastructure in real-time
Coordinate with technical teams for incident resolution and support DR
Australian Citizen with Baseline or NV1 clearance required",,5.0,https://au.jora.com/job/IT-support-IT-6631807f916bbcde5b50d7920bb6a04f,0,unknown,194,1.791759469228055
IT helpdesk,4Cyte Pathology,Ryde,NSW,"Resolve user inquiries on hardware and software support
Perform troubleshooting, ticket management, and system maintenance tasks
Bachelor’s degree in IT or related field preferred; 1-3 years experience",,3.0,https://au.jora.com/job/IT-helpdesk-7b61152d354839a165f58113d8780b15,0,unknown,203,1.3862943611198906
Junior IT Systems Support,seek.com.au,Bowen Hills,QLD,"Provide helpdesk support to team and online learners
Manage user access policies, licenses, and internet security
Required: MS365 knowledge, workstation setup, SQL familiarity",SQL,5.0,https://au.jora.com/job/Junior-IT-Systems-10d9941a98977aa4ae21608fc4fd7be5,1,entry,177,1.791759469228055
Level 1 IT Support Technician,KMT Group,Melbourne,VIC,"Provide exceptional customer service for IT infrastructure-related issues
Showcase technical troubleshooting skills and strong communication abilities
IT qualifications, certifications, 6-12 months hands-on experience needed",,5.0,https://au.jora.com/job/Level-1-IT-57a670c81e5ed49e65e4d921e46e7af1,0,unknown,226,1.791759469228055
IT Service Desk Technician (Level 1/2),UN IT Group Pty Ltd,Hamilton,QLD,"Provide top-quality IT support to diverse businesses
Engage with clients, solve IT issues, and work in team
2+ years IT experience, networking knowledge, and driver's license","IT Support, Networking",2.0,https://au.jora.com/job/IT-Service-Desk-cdfe8dd899d8264244b76afc4bf08e44,2,unknown,176,1.0986122886681098
IT Support Officer,Vocus,Melbourne,VIC,"Provide first and second level IT support to Vocus employees
Maintain accurate logs, resolve client issues, and escalate technical queries
Tertiary IT qualification, strong customer service focus, analytical skills","IT Support, Scala",5.0,https://au.jora.com/job/IT-Support-Officer-af5b067ef5d0d38408b8f3a8171ac347,2,unknown,216,1.791759469228055
Help Desk Analyst,CSR Limited,Ryde,NSW,"Provide first-level technical support for IT systems and hardware
Log, categorize, escalate incidents, contribute to process improvements
Advanced understanding of Windows, MS Office, LAN/WAN, and Active Directory","Active Directory, Go, Scala",5.0,https://au.jora.com/job/Help-Desk-Analyst-e4aec7a06b0b650364c092f7d7446b2d,3,unknown,215,1.791759469228055
Helpdesk Support Level 1,West Recruitment,Blacktown,NSW,"First point of contact for internal customer support
Qualification in technology or close to finalizing required
Relevant IT work experience, 'Can Do' attitude, problem-solving skills",,5.0,https://au.jora.com/job/Helpdesk-Support-Level-21d20300d1d8797d5ad048dd2b761a74,0,unknown,185,1.791759469228055
Part-Time IT Support Specialist,Q Automotive Group,Townsville,QLD,"Provide technical support for hardware, software, and network issues
Assist in setup, configuration of new computers and peripherals
Strong knowledge of Windows OS, networking concepts; problem-solving skills","Networking, SSIS",5.0,https://au.jora.com/job/Part-Time-IT-a5d569be76250430e01025404b93dc44,2,unknown,210,1.791759469228055
