Title,Company,City,State,Description,Skills,Experience,Job URL
Helpdesk Specialist,Hays Recruitment,Sydney,NSW,"Provide technical support for hardware, software, and internal systems
Experience with desktop support, Azure, and Office 365 required
Troubleshoot network, assist with Active Directory, and support users","Active Directory, Azure, Desktop Support, SSIS",0,https://au.jora.com/job/Helpdesk-Specialist-b7e567b307684c8d0dc21886867b8ff2
Traineeship: IT Support,Xenontech,Yagoona,NSW,"Provide onsite and offsite support to NSW Public Schools
Work with Principals, Teachers, and Administration staff
Opportunity for on-the-job training, IT certification, and career growth",,0,https://au.jora.com/job/Traineeship-IT-Support-a88a60382f003bec00d1eaae19bde893
Graduate IT Sales Role | 12-month Salary Review - NSW,Proforce,Sydney CBD,NSW,"Entry-level role in IT sales for recent university graduates
Building relationships and advising clients on technology use
No experience required; must have completed university degree",,0,https://au.jora.com/job/Sales-Role-3cd3f009132236ef7bed8188bbe43812
IT Support,R.L Blake Pty Ltd,Cobden,VIC,"Provide IT support & troubleshooting for company systems
Maintain network accounts, permissions, and software/hardware configurations
Skills: problem-solving, Microsoft Stack, communication, organization",IT Support,0,https://au.jora.com/job/IT-Support-f6106e3eb3c5340fa6aa3cecba32dbfe
"Graduate, Level 1 (Health IT)",JOSE Health IT,Northcote,VIC,"Minimum 12 months experience in Level 1 IT Support
Strong communication skills, both written and verbal
Ability to work independently at office and client sites",IT Support,0,https://au.jora.com/job/Graduate-Level-1-49d7da5ee383d29463d76feed61f9e76
Level 1 Service Desk Technician,Emerging It,North Sydney,NSW,"Provide timely technical support via phone, email, ticketing systems
Troubleshoot hardware, software, and basic network issues
Degree in IT, prior service desk experience, strong communication skills",Service Desk,0,https://au.jora.com/job/Service-Desk-Technician-2defa0868e3b41a470b916360d4aa780
IT Helpdesk Support Officer,Brisbane Girls Grammar School,Spring Hill,QLD,"Primary contact for staff and student IT issues
Maintenance of school IT equipment and systems
Qualifications in IT, experience with various operating systems",,0,https://au.jora.com/job/IT-Helpdesk-Support-532a133fe7f6447b2373dfdf1d7c45c3
Helpdesk Officer,Hays Recruitment,Perth,WA,"First point of contact for IT issues within organization
Troubleshoot hardware/software problems, provide training and support
Experience in helpdesk support, Microsoft Office, Active Directory required",Active Directory,0,https://au.jora.com/job/Helpdesk-Officer-c8d9e78412468a18f9a677bddf27e164
IT Traineeship - Hobart,NDA Computing,Hobart,TAS,"Entry-level IT traineeship for Certificate III or IV qualification
Gain workplace skills while completing IT training in Hobart
Full-time employment with opportunities for future positions",,0,https://au.jora.com/job/IT-Traineeship-Hobart-3af578d5a7df6b9c96a60eeba8857efd
IT Assistant Intern,Study and Work,Melbourne,VIC,"Relevant degree or recent graduate/skilled migrant
Technical support, system management, and IT strategy contribution
12-week work experience, structured training, job placement assistance",SSIS,0,https://au.jora.com/job/IT-Assistant-Intern-d70347fc9ee990d2fd29671ca6adb6cf
Service Desk IT Support Technician / Engineer,Network Technologies Queensland,Brendale,QLD,"Provide 1st and 2nd level IT support in dynamic environment
Experience with desktop, server, networking, and phone systems
Client-facing role requiring excellent communication and problem-solving skills","Excel, IT Support, Networking",0,https://au.jora.com/job/Engineer-0290c1bbd967304a10b2569575c68889
Service Centre Technician,Kinetic IT,Darwin,NT,"Provide 1st level support remotely with exceptional customer service
Troubleshoot technical issues, log jobs, and collaborate with teams
Required: customer-centric experience, communication skills, team player",,0,https://au.jora.com/job/Service-Centre-Technician-7f6f0b07a6a1c49f7531a2ea7edb7677
Helpdesk Officer,Hays Recruitment,South Perth,WA,"First point of contact for IT-related issues within organization
Troubleshoot hardware/software problems, provide training and support to staff
Strong knowledge of Microsoft Office, Active Directory administration required",Active Directory,0,https://au.jora.com/job/Helpdesk-Officer-04c75c9c77e57224366d6b73d0e697b9
IT Support Cadet,Dragnet Technology & Consulting,Mount Pleasant,WA,"Entry-level role supporting Network Engineers with technical tasks
Requires passion for technology, strong communication, and organizational skills
Opportunity for career growth in IT with training provided",,0,https://au.jora.com/job/Cadet-cc391aa099501c31009a5f5e8222644f
Desktop Support,Randstad,Bankstown,NSW,We're recruiting a Service Desk Support Officer to provide responsive Level 1 & 2 IT support within a busy and supportive team...,"IT Support, Service Desk",0,https://au.jora.com/job/Desktop-Support-a5131bd921884717048c5b83cb9c9fb9
Junior IT Support Technician,Oui Recruitment,Perth,WA,"Provide customer service, troubleshoot hardware and software problems
Assist with systems administration, networking tasks, and onsite visits
Require driver's license, certifications like CCNA, NSE 1-3, MS-900","Networking, SSIS",0,https://au.jora.com/job/Junior-IT-Support-fd9ac00bf17a4cf7f94bdcdbce7b25a5
Level 1 Support IT Officer,Best Sheds,Kembla,NSW,"Provide IT support, helpdesk management, equipment maintenance and setup
Minimum 1-2 years IT support experience, Microsoft 365 knowledge
Network setup, troubleshooting, liaising with IT Manager, team player",IT Support,2,https://au.jora.com/job/Level-1-Support-75180a59a96e44e143dd1c497956d735
IT Service Desk Officer,CBHS Health Fund,Parramatta,NSW,"Provide first level IT support to CBHS Staff and contractors
Experience in IT Service Desk role and Microsoft troubleshooting skills
Certificate 4 in IT Service Desk or ITIL Certification preferred","IT Support, ITIL, Service Desk",0,https://au.jora.com/job/IT-Service-Desk-5c14eb8e52363ec133d092867107cfc6
IT Support & Database Administrator,Howe Farming Enterprises,Walkamin,QLD,"Support IT systems, troubleshoot databases, assist with R&D projects
Ideal for recent IT or computer science graduates, eager learners
Training provided, work-life balance, real-world experience in IT",SSIS,0,https://au.jora.com/job/Database-Administrator-eae279d30e1a1353863bb25955ab2b7d
Help Desk Analyst,CSR Limited,Ryde,NSW,"Provide first-level technical support for IT systems and hardware
Contribute to process improvements and performance monitoring
Advanced understanding of Windows, MS Office, LAN/WAN, and Active Directory",Active Directory,0,https://au.jora.com/job/Help-Desk-Analyst-68f87dccbbb0e8995d99029ddfc671a2
Graduate IT Systems Analyst,MSP Photography,Wagga Wagga,NSW,"Support and enhance existing systems and processes
Develop and implement new products and innovations
Degree in IT or related field, basic knowledge of databases",,0,https://au.jora.com/job/Graduate-IT-Systems-ec83eac650c43f878523e3acea479186
Helpdesk Support (Level 1),West Recruitment,Sydney Western Suburbs,NSW,"First point of contact for internal customer support
Logging support requests and ensuring SLAs are met
1-2 years support experience, MS Office proficiency required",,2,https://au.jora.com/job/Helpdesk-Support-Level-5418ff734b42ae389f70a28fa711f088
Level 1 IT Support Technician,KMT Group,Melbourne,VIC,"Provide exceptional customer service for IT infrastructure-related issues
Showcase technical troubleshooting skills and strong communication abilities
IT qualifications, certifications, 6-12 months hands-on experience needed",,0,https://au.jora.com/job/Level-1-IT-57a670c81e5ed49e65e4d921e46e7af1
Service Desk Analyst / Level 1 Helpdesk / L1 Support - Various locations,Viatek Technology,Cremorne,VIC,"First point of contact for clients, troubleshooting and resolving queries
Opportunity to develop IT skills, certifications, and work independently
Onboarding, training, and professional development support provided",,0,https://au.jora.com/job/Service-Desk-Analyst-5c6d775d5e2a19bb6bb257d2949d7496
Level 1 IT Support Technician (Remote Fulltime),Flying Donkey IT,Brisbane,QLD,"Provide Level 1 technical support via phone, email, chat
Maintain and troubleshoot hardware, software, and network systems
Administer Active Directory, Microsoft 365, IP phone systems",Active Directory,0,https://au.jora.com/job/Level-1-IT-71a9885c2f7032a4b00581970e969a51
Junior IT Systems Support,seek.com.au,Bowen Hills,QLD,"Provide helpdesk support to team and online learners
Manage user access policies, licenses, and internet security
Required: MS365 knowledge, workstation setup, SQL familiarity",SQL,0,https://au.jora.com/job/Junior-IT-Systems-10d9941a98977aa4ae21608fc4fd7be5
IT Level 1 Support,ACS Foundation,Sydney,NSW,"Provide Level 1 IT support, troubleshoot technical issues
Manage ticket queue, escalate to Level 2 support as needed
Create technical documentation, require IT-related degree in Australia","IT Support, Scala",0,https://au.jora.com/job/IT-Level-1-c2d65adfc30212bdab0914636ee11e7f
Level 1 Tech Support Analyst,Gilbert + Tobin Lawyers,Sydney,NSW,"Provide first-level technical support via phone, email, and chat
Troubleshoot and resolve issues related to various technologies
Work onsite in Sydney full-time on a rotating weekday roster",,0,https://au.jora.com/job/Level-1-Tech-b53cf8a5af7db382dab5f39733dcebab
IT Infrastructure Officer - Part Time Fixed Term Contract,ASICS Oceania Pty Ltd,Marsden Park,NSW,"Provide IT support, troubleshoot issues, and maintain systems
Experience in Windows, Office 365, and cyber security required
Part-time fixed term role, ideal for recent grads or parents",IT Support,0,https://au.jora.com/job/Infrastructure-Officer-2b87ade3b875c9575d7acb7c115f2946
Level 1 Helpdesk Technician,Hays Recruitment,Prahran,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and resolve technical issues within SLAs
Experience with Windows, macOS, Active Directory, Exchange, and certifications","Active Directory, IT Support",0,https://au.jora.com/job/Helpdesk-Technician-5c9b2c5eb7dca3d04ad666bd8cd4c4c3
Junior IT Support Officer,Ertech,Perth,WA,"Provide helpdesk and desktop support to end users
Maintain IT infrastructure at regional offices and sites
TAFE Qualification in IT, Windows 10, Microsoft 365 knowledge",Desktop Support,0,https://au.jora.com/job/Junior-IT-Support-091d67921df767ba7d46f71586e6baf5
IT helpdesk,4Cyte Pathology,Ryde,NSW,"Resolve user inquiries on hardware and software support
Perform troubleshooting, ticket management, and system maintenance tasks
Bachelor’s degree in IT or related field preferred; 1-3 years experience",,3,https://au.jora.com/job/IT-helpdesk-7b61152d354839a165f58113d8780b15
Junior IT Support Officer,Doble Express Transport,Yennora,NSW,"Provide first-level IT support and resolve hardware, software issues
Assist in setting up and maintaining hardware, support IT projects
Basic IT knowledge, Power BI skills, proactive attitude required","IT Support, Power BI, SSIS",0,https://au.jora.com/job/Junior-IT-Support-fb146c1306127f2a6892914d1ce81254
Level 1 & 2 IT Service Desk Technicians,Fusion Technology Solutions,Sydney CBD,NSW,"Provide first and second level technical support across technologies
Handle escalations, develop documentation, and conduct client site visits
Work collaboratively with Engineering team, ensure SLA targets are met",Scala,0,https://au.jora.com/job/Level-1-2-b76c862fc03f90f980b1dee2cf8f098f
Service Desk Consultant,Catalytic IT,Burswood,WA,"Provide technical support for clients on various platforms
Resolve client issues through effective questioning and troubleshooting
Opportunities for growth within a rewarding and diverse environment",,0,https://au.jora.com/job/Service-Desk-Consultant-6b95e2afd9a1151aefca0a87c2dffafe
Junior I.T. Apprentice - Certificate III in Information Technology,Australian Apprenticeships Support Network Northern Territory,Berrimah,NT,"Hands-on experience in computer systems and network maintenance
Provide first-line support to end-users, troubleshoot technical issues
Opportunity for career growth with clear advancement pathways",,0,https://au.jora.com/job/Junior-I-T-5297de11ef853b5a13e8f48c80bf0a88
Level 1 - Service Desk Technician,Total Computer Technology,Port Melbourne,VIC,"Provisioning PCs and providing 1st Level PC, network support
Requires TAFE Certificate or Uni degree in IT
Strong customer service, communication, and time management skills needed",Visio,0,https://au.jora.com/job/Service-Desk-Technician-319101425da07576f2ea600c9f385e6a
IT Service Desk Technician (Level 1/2),UN IT Group Pty Ltd,Hamilton,QLD,"Provide top-quality IT support to diverse businesses
Engage with clients, solve IT issues, and work in team
2+ years IT experience, networking knowledge, and driver's license","IT Support, Networking",2,https://au.jora.com/job/IT-Service-Desk-cdfe8dd899d8264244b76afc4bf08e44
Full Time - Level 1 IT Helpdesk Support Technician,Boost IT,Brisbane,QLD,"Provide IT support via remote, phone, and onsite assistance
Install and troubleshoot hardware, software, network, and cloud issues
Required IT-related degree, Diploma, or certificate; Microsoft 365 knowledge","IT Support, SSIS",0,https://au.jora.com/job/Helpdesk-Support-Technician-f59ceaa47058e5eff73f58e3e814ddf0
IT Support Assistant,Mitsubishi Heavy Industries Air Conditioning Australia,Regents Park,NSW,"Support IT operations for Australia and New Zealand
Assist with troubleshooting, system accounts, and user training
Knowledge of backup software, Microsoft Office, and active Directory","Active Directory, SSIS",0,https://au.jora.com/job/IT-Support-Assistant-a42fba1ce6b1c9731afeea07fe12380f
Data Entry / Typist - Virtual,MultiTech Systems LLC,Dawes Point,NSW,"Accurate data entry and database management skills required
Maintain confidentiality and perform data backups accurately
Support IT team with administrative tasks in fast-paced environment",,0,https://au.jora.com/job/Typist-a5b6d8b1b9ad54f0a92626322afadaae
Level 1 Helpdesk Technician,Hays Recruitment,Melbourne,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and perform account administration
Experience with Windows, macOS, Active Directory, Exchange, and Office 365","Active Directory, IT Support",0,https://au.jora.com/job/Helpdesk-Technician-5420336674e587b8c8400f68c02ab104
Information Technology Trainee,IT Sales and Services,Noosaville,QLD,"Hands-on IT support for real clients with real issues
Receive free industry training and certifications for skill enhancement
Friendly team environment with opportunities for career growth",IT Support,0,https://au.jora.com/job/Information-Technology-Trainee-cd107f6efab2d268654c80a132363259
Presales / IT Customer Support Specialist,BPS Group,St Leonards Park,NSW,"Handle customer technical enquiries, provide quotations, and design solutions
Educate clients on best solutions, escalate concerns promptly, explore up-sell
1-3 years IT helpdesk support, customer service experience required",Scala,3,https://au.jora.com/job/Customer-Support-Specialist-a2aa6ef257457e05fb72f3c693c487a9
IT Graduate,Cenitex,Melbourne,VIC,"Join Cenitex Graduate Rotation Program for real-world ICT projects
Customize your pathway, gain hands-on experience in IT teams
Cover letter not required, user-friendly application process.",,0,https://au.jora.com/job/IT-Graduate-4bf011279fda00b4d1ff0bb6cc624ef6
IT Helpdesk Support,NQIT,Townsville,QLD,"Provide 1st-level Helpdesk support via phone, chat, email
Assist with office housekeeping tasks while maintaining customer focus
Opportunities for hands-on IT training and career advancement",SSIS,0,https://au.jora.com/job/IT-Helpdesk-Support-80d2cef280dc0ae409f5df5187892910
Junior IT Support Administrator,Simpro,Melbourne,VIC,"Provide technical support and maintain IT systems for end-users
Configure and deploy IT hardware solutions for organisational capabilities
Support Salesforce operations, data management, and system administration",Salesforce,0,https://au.jora.com/job/Junior-IT-Support-a723da393ee8bb95dd56bfed967d8f4f
Service Desk Agent,Datacom,North Sydney,NSW,"First point of contact for client support, proactive problem-solving
Opportunity to kick-start IT career, develop skills and knowledge
Full availability needed for rotating roster, strong communication skills",,0,https://au.jora.com/job/Service-Desk-Agent-48d22455bd593eb12b90a881c62c13a5
IT Technician Traineeship,Skillset,Bathurst,NSW,"Hands-on IT experience with industry experts and Certificate IV
Customer service, troubleshooting, system monitoring, and device repairs
Opportunity to earn while learning, gain qualification, and mentoring",,0,https://au.jora.com/job/IT-Technician-Traineeship-4986bc07f6f69f74ed5f8b0f55fd2780
Graduate Support Analyst (Entry Level),Callscan Australia,Melbourne,VIC,"Provide technical support via phone, email, and remote screen sharing
Troubleshoot and resolve technical issues in a fast-paced environment
Recent IT, Computer Science, or Engineering graduates with programming knowledge",,0,https://au.jora.com/job/Support-Analyst-1ee07a711ef0ce08ee363014f6aefea5
IT Support TechnicianNew,Skutopia,Alexandria,NSW,"Provide technical support for hardware, software, and network systems
Manage user accounts, software installations, and system administration tasks
Document support interactions, escalate complex issues, and stay updated",Scala,0,https://au.jora.com/job/IT-Support-TechnicianNew-73ecf8f205dbc530b18fdf42cb284563
Graduate Management Program - IT Graduate,BMW Group Australia - Melbourne Dealer Network,Mulgrave,VIC,"Support budget maintenance through purchase orders and invoice payments
Manage end user hardware life cycle and liaise with vendors
Commerce/IT degree, SDLC knowledge, customer-centric approach",,0,https://au.jora.com/job/Graduate-Management-Program-9930624e3f1e8ec1731ad5c437e0a641
Tech Help Volunteer - Nedlands Library,City of Nedlands Volunteer Program,Nedlands,WA,"Provide one-on-one technology assistance to general public
Assist in implementing new programs, develop understanding of devices
Encourage participation in supportive learning environment, assist with eBooks",SSIS,0,https://au.jora.com/job/Volunteer-1486118f09a6a97dc94175dce2bdf750
Helpdesk Support Level 1,West Recruitment,Blacktown,NSW,"First point of contact for internal customer support
Qualification in technology or close to finalizing required
Relevant IT work experience, 'Can Do' attitude, problem-solving skills",,0,https://au.jora.com/job/Helpdesk-Support-Level-21d20300d1d8797d5ad048dd2b761a74
Level 1 to 2 IT Help Desk Tech,Kirra Services,Canberra,ACT,You can’t apply as it’s expired.,,0,https://au.jora.com/job/Level-1-to-cc3ea83731bd2593b6b7fceec91c6ef4
IT Hardware Assistant,Mars Recruitment,Richmond,VIC,"Setup and configure IT hardware including computers and peripherals
Maintain inventory records, track hardware assignments, support office moves
Basic IT hardware knowledge, attention to detail, communication skills",,0,https://au.jora.com/job/Hardware-Assistant-8f940ff77a5b98e7860ba509f5bd282e
Level 1 Support,West Recruitment,Botany,NSW,"Provide technical support via phone, email, and face-to-face
Manage ticket cue, escalate urgent situations, monitor unresolved issues
1-2 years infrastructure support, ticketing, problem-solving",Scala,2,https://au.jora.com/job/Level-1-Support-2d8e4d6abf3da6c225cca209f8d93284
Level 1/2 IT desktop support,Ethan Talent,Melbourne,VIC,"Resolve level 1 & 2 issues in Service Desk environment
Support customers over the phone in large enterprise environment
Experience with Microsoft stack troubleshooting and Windows operating systems",Service Desk,0,https://au.jora.com/job/Level-1-2-304a9ec4461b03de767b62cd9aafe4ac
IT & Technology 2025 Graduate,O'Brien,Sydney,NSW,"Gain hands-on experience in process improvement and project management
Rotate through different teams over 2-year programme
Eligible with Bachelor's degree and right to work in Australia",,0,https://au.jora.com/job/IT-Technology-2025-4204e0e9d05bc2c0315357595ed85ac6
Level1 Service Desk Agent,Kirra Services,Canberra,ACT,Level1 Service Desk Agent,Service Desk,0,https://au.jora.com/job/Service-Desk-Agent-e0910a96dfd1cb3b571de244a05877bc
Junior IT assistant,Vivad,Campbellfield,VIC,"Provide first-line IT support for employees
Troubleshoot hardware, software, and networking issues
Collaborate with IT team to improve IT infrastructure","IT Support, Networking",0,https://au.jora.com/job/Junior-IT-assistant-f3bd33d4697c32bbb26ff9d588674df2
Service Desk Agent,Datacom,Modbury,SA,"First point of contact for clients, providing level 1 support
Respond to phone calls, emails, troubleshoot, and multitask
Customer-centric, team player, critical thinker, problem-solver, growth mindset",,0,https://au.jora.com/job/Service-Desk-Agent-b2d73c5574cac2aeafaabca231990282
Junior Helpdesk Analyst,Motion Recruitment,Sydney,NSW,"Provide technical support for hardware, software, networks, and systems
Experience in IT helpdesk, Windows machines, and SaaS applications
Strong troubleshooting skills, communication, and collaborative team player",,0,https://au.jora.com/job/Helpdesk-Analyst-1e36ab93ef7de593e9bee8c55dfa56db
Service Desk Engineer - Level 1,West Recruitment,New South,Wales,The page you are looking for cannot be found,,0,https://au.jora.com/job/Service-Desk-Engineer-beab9e24a85e7fffb0fcfbfd7c8f4b87
IT Support Technician/Engineer,Phoenix IT,Bunbury,WA,"Provide help-desk and onsite support for clients
Minimum Tafe certification in IT and strong communication skills
Experience with Windows Desktop, networking, and troubleshooting preferred",Networking,0,https://au.jora.com/job/Engineer-6a96f0ec86a5b6dac6a292c24f68fef8
Level 1 Service Desk Engineer,West Recruitment,Sydney Western Suburbs,NSW,"Provide on-site support to national branches and employees
Support servers, workstations, applications, and Microsoft 365 environments
Minimum 1 year IT support experience with O365, Windows, Active Directory","Active Directory, IT Support",1,https://au.jora.com/job/Service-Desk-Engineer-9fd0e695970895655d727b1e9446207d
Desktop Support Analyst (First Nations Identified),Centorrino Technologies,Collingwood,VIC,"Provide technical support via phone, email, or other channels
Troubleshoot hardware and software issues, ensuring timely resolutions
Maintain relationships with customers, review service delivery reporting",,0,https://au.jora.com/job/Desktop-Support-Analyst-952d99b41c5e5de3d9bff82f034b911d
Trainee ICT Support Officer,Reflex Technology Group,Adelaide,SA,"Provide first-level technical support for hardware, software, network
Assist with system maintenance, user onboarding, and documentation
Strong communication skills, problem-solving mindset, and team player attitude",SSIS,0,https://au.jora.com/job/Trainee-ICT-Support-a7b9781d332a5c2128c8735c5b780f65
Desktop Support Officer - Level 1,NES Fircroft,Brisbane,QLD,"Provide level 1 support for production systems in 24x7 control center
Engage with various support teams and vendors to resolve faults
Strong customer service attitude and collaborative team player required",,0,https://au.jora.com/job/Desktop-Support-Officer-e33762adeb0fa8cdc16f2f4a0952f8c2
Level 1 Support Consultant,Fuse Technology,Sydney CBD,NSW,"First point of contact for clients, troubleshoot common IT issues
Log, prioritize, and resolve incidents, assist with account management
Hands-on experience with Microsoft cloud-based infrastructure, user support",SSIS,0,https://au.jora.com/job/Support-Consultant-9bb1a852631e992aaf64cadda2c0dc62
Information Technology Graduate,Cenitex,Melbourne,VIC,"Opportunity for IT graduates to kick-start their career
Inclusive workplace with focus on diversity and disability support
Customizable journey, team collaborations, and diverse IT projects",,0,https://au.jora.com/job/Technology-Graduate-5df884ff991ab0c596eedfa024bb263e
Junior IT Administrator,Recruitment Hive,Canberra,ACT,"Assist users with network issues and hardware/software installations
Maintain security processes and update configuration management records
Required TSPV clearance and infrastructure services provisioning experience","SSIS, Visio",0,https://au.jora.com/job/Junior-IT-Administrator-8a125ff2222d0d2c2c38cc69fa1734dc
IT Support Assistant,Salt,Sydney,NSW,"Set up desks and hardware for new starters
Troubleshoot IT and hardware issues, update tickets
Communicate with staff, liaise with procurement, facilities, HR teams",,0,https://au.jora.com/job/IT-Support-Assistant-b7085730f74498a5af06ee990b0a6dda
Level 1 IT Support Technician,Jellis Craig Real Estate,Richmond,VIC,"Provide Level 1 IT support to 1200+ staff and 40 offices
Maintain Microsoft 365/Entra, troubleshoot hardware/software issues
Collaborate with IT Engineers on network, security, and IT strategy",IT Support,0,https://au.jora.com/job/Level-1-IT-16f91cd5036133b9f8f9af2737575f4f
Digital Service Officer Level 1,Queensland Government,Brisbane,QLD,"Provide level-one service desk support for QRO information systems
Manage incidents, prioritize tasks, and assign to appropriate teams
Administer user access, maintain records, and support system testing",Service Desk,0,https://au.jora.com/job/Digital-Services-Officer-ee224d2557479f79be563fdee83cfb62
Level 1 IT Support Technician,Autopact,Mooloolaba,QLD,"Provide exceptional customer service and technical support
Work in a team environment and autonomously when required
Basic hardware repairs, Microsoft Windows and Office knowledge required",,0,https://au.jora.com/job/Level-1-IT-7fac891253a2beab1a161719b54bd680
Helpdesk L1 + 2,Hays Recruitment,Macquarie Park,NSW,"Provide technical support for hardware, software, and internal systems
Experience with desktop support, Azure, and Office 365 required
Troubleshoot Windows OS, Office 365 apps, network connectivity issues","Azure, Desktop Support",0,https://au.jora.com/job/Helpdesk-L1-+-96c0df7a7d580f7f25eb3c0e963afbb9
Helpdesk IT Support,Blackguard,Brisbane,QLD,"Provide Level 1/2 IT support for hardware, software, networking
Experience with Windows devices, Office 365, networking technologies required
Opportunity for career growth, exposure to diverse technologies","IT Support, Networking",0,https://au.jora.com/job/Helpdesk-IT-Support-d774a8503b35a14be37a04013359b43f
Service Desk Officer,Council Jobs,Goolwa,SA,SEEK acknowledges the Traditional Custodians of the lands on which it operates its online employment marketplace. The gum leaf represents...,,0,https://au.jora.com/job/Service-Desk-Officer-701adef0ef4f6c7b83b8fcb5912123f1
Information Technology Trainee,Zeal Futures,The Junction,NSW,"Complete Certificate IV in Information Technology through formal training
Provide first-line technical support to clients and troubleshoot issues
Strong communication, training dedication, IT support background required.",IT Support,0,https://au.jora.com/job/Information-Technology-Trainee-7f718e920eca373c146b0b86876a39d7
Level 1 & 2 Support Officer,Kirra Services,Victoria,,You can’t apply as it’s expired.,,0,https://au.jora.com/job/Support-Officer-eca109e9c6dbd3f753d0c1b4d3eb47e2
Service Desk Coordinator,Council Jobs,Mudgee,NSW,Logout,Go,0,https://au.jora.com/job/Service-Desk-Coordinator-13b9a75c6e0ce7698aa462f5720978db
Information technology trainee,SA Government DEPARTMENT FOR EDUCATION,Aldinga,SA,"Accountable for computer systems supporting college's needs
Required to complete Certificate III in Information Technology qualification
Mandatory training and checks for child protection and safety",,0,https://au.jora.com/job/Information-Technology-Trainee-dbda654afbb3836da0d8600af14359ed
Desktop Support Officer Hobart-Tasmania- Australia,Axiom Technologies,Hobart,TAS,"Provide onsite desktop support for end-users in timely manner
Experience in troubleshooting computer OS, hardware, and software installation
Required certifications: CompTIA A+, MCITP, MOS; 2+ years experience",Desktop Support,2,https://au.jora.com/job/Desktop-Support-Officer-9d36c94e54abe0645a4c72599867e1ce
Level 1/2 Helpdesk Support,West Recruitment,Sydney Western Suburbs,NSW,"Provide helpdesk support for IT issues across multiple sites
Manage internal IT environment including servers, Active Directory, hardware
Requires IT degree, SQL & Crystal reports skills, teamwork mindset","Active Directory, SQL",0,https://au.jora.com/job/Level-1-2-28214919c60ebb19eaba8ba7d0bb5604
Level 1 Support Engineer,West Recruitment,Sydney CBD,NSW,"Assist customers with basic IT issues via phone and email
Support clients with IT maintenance and project delivery
IT degree, certifications, Windows Servers, Azure, O365 experience required","Azure, SSIS, Windows Server",0,https://au.jora.com/job/Support-Engineer-d8602e3eb09d5050b60d4a3a779496b6
